,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL,Holding Days,Exit Type
0,AMAZON,Closed,2014-01-24,19.38,225,14.37,5023.0,97345.736,-25165.23,-25.851,273.0,Stop Loss
1,AMAZON,Closed,2014-01-27,19.31,412,25.84,5121.0,98906.99,33440.13,33.81,543.0,Take Profit
2,AMAZON,Closed,2014-01-29,19.21,412,26.07,5099.0,97951.785,34979.14,35.711,541.0,Take Profit
3,AMAZON,Closed,2014-01-31,17.93,412,25.75,5379.0,96469.674,42063.78,43.603,539.0,Take Profit
4,AMAZON,Closed,2014-02-03,17.31,412,25.62,5571.0,96420.087,46295.01,48.014,536.0,Take Profit
5,AMAZON,Closed,2014-02-04,17.4,412,25.85,5720.0,99513.695,48334.0,48.57,535.0,Take Profit
6,AMAZON,Closed,2014-03-26,17.17,406,23.72,5600.0,96154.799,36680.0,38.147,477.0,Take Profit
7,AMAZON,Closed,2014-03-27,16.92,407,23.89,5828.0,98630.158,40621.16,41.185,477.0,Take Profit
8,AMAZON,Closed,2014-03-28,16.91,408,24.16,5881.0,99474.17,42637.25,42.863,479.0,Take Profit
9,AMAZON,Closed,2014-04-11,15.59,408,24.23,6369.0,99270.42,55028.16,55.433,465.0,Take Profit
10,AMAZON,Closed,2014-04-25,15.19,404,23.12,6324.0,96071.044,50149.32,52.2,445.0,Take Profit
11,AMAZON,Closed,2014-04-28,14.83,404,23.01,6578.0,97545.165,53808.04,55.162,442.0,Take Profit
12,AMAZON,Closed,2014-09-15,16.19,349,21.12,6043.0,97863.363,29791.99,30.442,221.0,Take Profit
13,AMAZON,Closed,2014-10-01,15.87,349,21.06,6210.0,98571.331,32229.9,32.697,205.0,Take Profit
14,AMAZON,Closed,2014-10-10,15.57,349,20.52,6369.0,99162.145,31526.55,31.793,196.0,Take Profit
15,AMAZON,Closed,2014-10-13,15.32,349,20.45,6454.0,98891.416,33109.02,33.48,193.0,Take Profit
16,AMAZON,Closed,2014-10-15,15.3,349,20.33,6571.0,100526.444,33052.13,32.879,191.0,Take Profit
17,AMAZON,Closed,2014-10-16,15.14,349,20.56,6806.0,103063.256,36888.52,35.792,190.0,Take Profit
18,AMAZON,Closed,2014-10-24,14.35,349,20.17,7032.0,100930.294,40926.24,40.549,182.0,Take Profit
19,AMAZON,Closed,2014-10-27,14.5,349,20.32,7000.0,101489.499,40740.0,40.142,179.0,Take Profit
20,AMAZON,Closed,2015-01-12,14.57,345,19.41,6721.0,97928.333,32529.64,33.218,98.0,Take Profit
21,AMAZON,Closed,2015-01-15,14.35,349,19.89,6802.0,97591.694,37683.08,38.613,99.0,Take Profit
22,AMAZON,Closed,2015-03-10,18.48,406,23.44,5298.0,97883.2,26278.08,26.846,128.0,Take Profit
23,AMAZON,Closed,2015-03-11,18.32,404,23.21,5396.0,98846.629,26386.44,26.694,125.0,Take Profit
24,AMAZON,Closed,2015-08-24,23.17,484,31.98,4314.0,99948.913,38006.34,38.026,72.0,Take Profit
25,AMAZON,Closed,2015-08-25,23.32,489,33.1,4102.0,95652.489,40117.56,41.941,78.0,Take Profit
26,AMAZON,Closed,2015-09-28,25.2,613,35.49,3846.0,96930.735,39575.34,40.828,226.0,Take Profit
27,AMAZON,Closed,2015-09-29,24.8,613,35.42,3952.0,98023.429,41970.24,42.817,225.0,Take Profit
28,AMAZON,Closed,2015-12-11,32.01,835,43.01,3071.0,98295.032,33781.0,34.367,474.0,Take Profit
29,AMAZON,Closed,2016-01-04,31.85,808,42.24,3047.0,97045.428,31658.33,32.622,410.0,Take Profit
30,AMAZON,Closed,2016-01-05,31.69,715,41.87,3091.0,97952.247,31466.38,32.124,274.0,Take Profit
31,AMAZON,Closed,2016-01-07,30.4,710,41.22,3216.0,97756.75,34797.12,35.596,265.0,Take Profit
32,AMAZON,Closed,2016-01-08,30.35,712,41.51,3227.0,97947.52,36013.32,36.768,266.0,Take Profit
33,AMAZON,Closed,2016-01-13,29.09,809,42.6,3221.0,93700.5,43515.71,46.441,405.0,Take Profit
34,AMAZON,Closed,2016-02-03,26.55,835,43.71,3613.0,95937.793,61999.08,64.624,420.0,Take Profit
35,AMAZON,Closed,2016-02-05,25.11,715,42.18,3778.0,94852.359,64490.46,67.99,243.0,Take Profit
36,AMAZON,Closed,2016-02-08,24.41,712,41.52,4111.0,100328.958,70339.21,70.109,235.0,Take Profit
37,AMAZON,Closed,2016-02-09,24.1,710,40.85,4184.0,100849.046,70082.0,69.492,232.0,Take Profit
38,AMAZON,Closed,2016-06-24,34.95,835,43.01,2886.0,100859.933,23261.16,23.063,278.0,Take Profit
39,AMAZON,Closed,2016-06-27,34.57,835,42.91,2890.0,99901.522,24102.6,24.126,275.0,Take Profit
