,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL,Holding Days,Exit Type
0,GSPC,Closed,13-12-2013,1775.32,127,1942.33,56,99417.917,9352.56,9.407,175,Take Profit
1,GSPC,Closed,24-01-2014,1790.29,233,2019.02,54,96675.662,12351.42,12.776,285,Take Profit
2,GSPC,Closed,27-01-2014,1781.56,233,2020.65,55,97985.803,13149.95,13.42,282,Take Profit
3,GSPC,Closed,29-01-2014,1774.2,234,2028.36,55,97580.997,13978.8,14.325,281,Take Profit
4,GSPC,Closed,03-02-2014,1741.89,236,2035.58,56,97545.841,16446.64,16.86,280,Take Profit
5,GSPC,Closed,10-04-2014,1833.08,368,2129.97,53,97153.238,15735.17,16.196,406,Take Profit
6,GSPC,Closed,11-04-2014,1815.69,305,2109.43,54,98047.257,15861.96,16.178,315,Take Profit
7,GSPC,Closed,31-07-2014,1930.67,655,2150.5,50,96533.502,10991.5,11.386,712,Take Profit
8,GSPC,Closed,01-08-2014,1925.15,657,2156.75,51,98182.651,11811.6,12.03,713,Take Profit
9,GSPC,Closed,05-08-2014,1920.21,661,2172,51,97930.708,12841.29,13.113,715,Take Profit
10,GSPC,Closed,25-09-2014,1965.99,751,2206.37,50,98299.5,12019,12.227,792,Take Profit
11,GSPC,Closed,01-10-2014,1946.16,759,2218.64,50,97308.002,13624,14.001,798,Take Profit
12,GSPC,Closed,02-10-2014,1946.17,759,2229.16,51,99254.672,14432.49,14.541,797,Take Profit
13,GSPC,Closed,07-10-2014,1935.1,759,2240.16,50,96754.999,15253,15.765,792,Take Profit
14,GSPC,Closed,09-10-2014,1928.21,802,2301.08,50,96410.498,18643.5,19.338,854,Take Profit
15,GSPC,Closed,10-10-2014,1906.13,791,2292.78,51,97212.63,19719.15,20.285,838,Take Profit
16,GSPC,Closed,13-10-2014,1874.74,791,2288.5,52,97486.479,21515.52,22.07,835,Take Profit
17,GSPC,Closed,14-10-2014,1877.7,791,2297.64,53,99518.097,22256.82,22.365,834,Take Profit
18,GSPC,Closed,15-10-2014,1862.49,802,2306.2,53,98711.969,23516.63,23.823,848,Take Profit
19,GSPC,Closed,10-12-2014,2026.14,551,1848.69,48,97254.721,-8517.6,-8.758,428,Stop Loss
20,GSPC,Closed,11-12-2014,2035.33,551,1845.65,49,99731.168,-9294.32,-9.319,427,Stop Loss
21,GSPC,Closed,12-12-2014,2002.33,761,2255.72,49,98114.168,12416.11,12.655,728,Take Profit
22,GSPC,Closed,15-12-2014,1989.63,779,2276.59,49,97491.87,14061.04,14.423,753,Take Profit
23,GSPC,Closed,16-12-2014,1972.74,791,2297.06,50,98637,16216,16.44,771,Take Profit
24,GSPC,Closed,10-03-2015,2044.16,535,1860.6,48,98119.682,-8810.88,-8.98,316,Stop Loss
25,GSPC,Closed,11-03-2015,2040.24,548,1857.5,48,97931.52,-8771.52,-8.957,334,Stop Loss
26,GSPC,Closed,08-06-2015,2079.28,433,1902.07,47,97726.161,-8328.87,-8.523,77,Stop Loss
27,GSPC,Closed,09-06-2015,2080.15,433,1898.68,48,99847.195,-8710.56,-8.724,76,Stop Loss
28,GSPC,Closed,29-06-2015,2057.64,551,1840.42,47,96709.075,-10209.34,-10.557,227,Stop Loss
29,GSPC,Closed,30-06-2015,2063.11,548,1853.97,48,99029.285,-10038.72,-10.137,223,Stop Loss
30,GSPC,Closed,08-07-2015,2046.68,809,2357.17,48,98240.643,14903.52,15.17,594,Take Profit
31,GSPC,Closed,20-08-2015,2035.73,809,2363.18,48,97715.039,15717.6,16.085,551,Take Profit
32,GSPC,Closed,21-08-2015,1970.89,806,2346.34,49,96573.611,18397.05,19.05,544,Take Profit
33,GSPC,Closed,24-08-2015,1893.21,809,2358.91,50,94660.498,23285,24.598,547,Take Profit
34,GSPC,Closed,25-08-2015,1867.61,867,2401.42,52,97115.719,27758.12,28.583,629,Take Profit
35,GSPC,Closed,28-09-2015,1881.77,804,2328.16,51,95970.271,22765.89,23.722,504,Take Profit
36,GSPC,Closed,29-09-2015,1884.09,802,2305.64,53,99856.768,22342.15,22.374,499,Take Profit
37,GSPC,Closed,13-11-2015,2023.04,802,2307.63,48,97105.922,13660.32,14.067,454,Take Profit
38,GSPC,Closed,09-12-2015,2047.62,815,2381.21,48,98285.76,16012.32,16.292,448,Take Profit
39,GSPC,Closed,11-12-2015,2012.37,815,2386.92,48,96593.76,17978.4,18.612,446,Take Profit
40,GSPC,Closed,14-12-2015,2021.94,875,2413.03,49,99075.057,19163.41,19.342,528,Take Profit
41,GSPC,Closed,18-12-2015,2005.55,949,2482.05,49,98271.952,23348.5,23.759,633,Take Profit
42,GSPC,Closed,06-01-2016,1990.26,809,2357.43,49,97522.74,17991.33,18.448,412,Take Profit
43,GSPC,Closed,07-01-2016,1943.09,804,2323.33,50,97154.498,19012,19.569,403,Take Profit
44,GSPC,Closed,08-01-2016,1922.03,803,2310.02,51,98023.531,19787.49,20.186,399,Take Profit
45,GSPC,Closed,11-01-2016,1923.67,803,2310.66,51,98107.172,19736.49,20.117,396,Take Profit
46,GSPC,Closed,13-01-2016,1890.28,806,2339.12,51,96404.281,22890.84,23.745,399,Take Profit
47,GSPC,Closed,11-02-2016,1829.08,812,2367.23,54,98770.318,29060.1,29.422,379,Take Profit
48,GSPC,Closed,03-05-2016,2063.37,802,2301.72,48,99041.766,11440.8,11.551,282,Take Profit
49,GSPC,Closed,05-05-2016,2050.63,802,2302.47,48,98430.234,12088.32,12.281,280,Take Profit
50,GSPC,Closed,24-06-2016,2037.41,806,2344.43,47,95758.272,14429.94,15.069,236,Take Profit
51,GSPC,Closed,27-06-2016,2000.54,806,2340.48,49,98026.462,16657.06,16.992,233,Take Profit
52,GSPC,Closed,26-08-2016,2169.04,805,2332.63,45,97606.802,7361.55,7.542,172,Take Profit
53,GSPC,Closed,09-09-2016,2127.81,806,2344.62,46,97879.263,9973.26,10.189,159,Take Profit
54,GSPC,Closed,13-09-2016,2127.02,875,2406.59,46,97842.921,12860.22,13.144,254,Take Profit
55,GSPC,Closed,14-09-2016,2125.77,875,2411.79,46,97785.421,13156.92,13.455,253,Take Profit
56,GSPC,Closed,11-10-2016,2136.73,815,2387.72,46,98289.579,11545.54,11.746,141,Take Profit
57,GSPC,Closed,01-11-2016,2111.72,805,2331.51,46,97139.119,10110.34,10.408,105,Take Profit
58,GSPC,Closed,02-11-2016,2097.94,803,2311.61,47,98603.177,10042.49,10.185,100,Take Profit
59,GSPC,Closed,03-11-2016,2088.66,802,2303.53,47,98167.016,10098.89,10.287,98,Take Profit
60,GSPC,Closed,04-11-2016,2085.18,802,2304.45,47,98003.457,10305.69,10.516,97,Take Profit
61,GSPC,Closed,21-03-2017,2344.02,967,2547.81,42,98448.841,8559.18,8.694,198,Take Profit
62,GSPC,Closed,22-03-2017,2348.45,971,2553.07,42,98634.898,8594.04,8.713,203,Take Profit
63,GSPC,Closed,13-04-2017,2328.95,978,2574.92,42,97815.898,10330.74,10.561,190,Take Profit
64,GSPC,Closed,06-07-2017,2409.75,1006,2627.89,41,98799.75,8943.74,9.052,147,Take Profit
65,GSPC,Closed,10-08-2017,2438.21,1004,2614.16,40,97528.398,7038,7.216,110,Take Profit
66,GSPC,Closed,11-08-2017,2441.32,1004,2620.98,40,97652.803,7186.4,7.359,109,Take Profit
67,GSPC,Closed,17-08-2017,2430.01,1006,2631.71,40,97200.4,8068,8.3,105,Take Profit
68,GSPC,Closed,18-08-2017,2425.55,1006,2638.12,41,99447.552,8715.37,8.764,104,Take Profit
69,GSPC,Closed,05-02-2018,2648.94,1499,3104.81,36,95361.838,16411.32,17.21,648,Take Profit
70,GSPC,Closed,06-02-2018,2695.14,1526,3235.99,38,102415.316,20552.3,20.068,688,Take Profit
71,GSPC,Closed,08-02-2018,2581,1530,3256.34,37,95497,24987.58,26.166,693,Take Profit
72,GSPC,Closed,22-03-2018,2643.69,1499,3100.5,37,97816.528,16901.97,17.279,603,Take Profit
73,GSPC,Closed,23-03-2018,2588.26,1489,3065.9,37,95765.62,17672.68,18.454,588,Take Profit
74,GSPC,Closed,25-06-2018,2717.07,1271,2492.24,36,97814.522,-8093.88,-8.275,178,Stop Loss
75,GSPC,Closed,10-10-2018,2785.68,1271,2479.63,34,94713.118,-10405.7,-10.987,71,Stop Loss
76,GSPC,Closed,11-10-2018,2728.37,1273,2361.61,36,98221.324,-13203.36,-13.442,74,Stop Loss
77,GSPC,Closed,24-10-2018,2656.1,1691,3393.22,36,95619.604,26536.32,27.752,667,Take Profit
78,GSPC,Closed,20-11-2018,2641.89,1530,3252.08,37,97749.926,22577.03,23.097,408,Take Profit
79,GSPC,Closed,17-12-2018,2545.94,1540,3315.24,38,96745.718,29233.4,30.217,395,Take Profit
80,GSPC,Closed,19-12-2018,2506.96,1554,3335.56,39,97771.438,32315.4,33.052,414,Take Profit
81,GSPC,Closed,20-12-2018,2467.42,1554,3336.35,40,98696.797,34757.2,35.216,413,Take Profit
82,GSPC,Closed,21-12-2018,2416.62,1558,3358.13,40,96664.805,37660.4,38.96,418,Take Profit
83,GSPC,Closed,24-12-2018,2351.1,1541,3327.36,41,96395.104,40026.66,41.524,389,Take Profit
84,GSPC,Closed,07-05-2019,2884.05,1530,3245.94,34,98057.702,12304.26,12.548,240,Take Profit
85,GSPC,Closed,08-05-2019,2879.42,1530,3243.59,34,97900.277,12381.78,12.647,239,Take Profit
86,GSPC,Closed,09-05-2019,2870.72,1535,3259.61,34,97604.479,13222.26,13.547,245,Take Profit
87,GSPC,Closed,13-05-2019,2811.87,1535,3269.05,35,98415.454,16001.3,16.259,241,Take Profit
88,GSPC,Closed,28-05-2019,2802.39,1540,3290.59,35,98083.646,17087,17.421,233,Take Profit
